Date of Draw,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus Ball
2020-04-11,08,17,23,25,27,28,07
2020-04-08,05,11,20,25,26,40,16
2020-04-04,06,10,11,13,20,30,31
2020-04-01,08,21,25,28,32,35,18
2020-03-28,02,03,19,35,37,39,23
2020-03-25,07,08,10,17,21,27,29
2020-03-21,09,16,18,19,20,28,07
2020-03-18,02,12,18,20,28,36,32
2020-03-14,09,13,22,23,25,36,37
2020-03-11,08,13,21,22,29,40,37
2020-03-07,07,14,20,23,26,39,12
2020-03-04,05,14,30,36,39,40,07
2020-02-29,04,18,25,27,28,32,37
2020-02-26,02,03,08,21,30,33,13
2020-02-22,08,15,22,36,39,40,31
2020-02-19,12,16,24,25,31,35,01
2020-02-15,02,04,10,17,29,31,05
2020-02-12,02,11,20,21,25,32,07
2020-02-08,12,13,14,15,24,38,35
2020-02-05,02,03,06,15,31,40,30
2020-02-01,16,20,22,24,30,32,06
2020-01-29,10,21,26,27,28,31,24
2020-01-25,10,11,19,24,28,34,29
2020-01-22,01,14,29,35,36,39,05
2020-01-18,01,05,20,24,34,37,26
2020-01-15,04,06,21,29,32,35,02
2020-01-11,09,13,16,26,33,40,32
2020-01-08,02,04,06,23,24,25,38
2020-01-04,06,07,12,17,24,33,23
2020-01-01,14,23,33,34,38,40,10
2019-12-28,06,10,16,24,28,34,38
2019-12-25,06,13,15,16,35,38,33
2019-12-21,07,09,14,18,20,34,08
2019-12-18,06,19,21,24,32,34,30
2019-12-14,19,21,23,34,35,39,26
2019-12-11,02,07,11,16,28,39,05
2019-12-07,06,09,23,25,26,27,39
2019-12-04,01,08,15,16,22,30,19
2019-11-30,12,18,26,33,35,39,28
2019-11-27,01,04,09,22,26,28,23
2019-11-23,16,17,20,22,28,29,06
2019-11-20,01,02,11,17,30,35,07
2019-11-16,13,18,19,32,33,39,02
2019-11-13,02,09,10,17,22,31,18
2019-11-09,06,07,11,23,29,37,20
2019-11-06,01,07,09,10,15,19,26
2019-11-02,13,16,21,23,27,35,26
2019-10-30,05,07,10,11,36,39,20
2019-10-26,08,12,16,19,20,24,18
2019-10-23,02,03,20,24,26,39,22
2019-10-19,06,12,21,28,35,38,08
2019-10-16,05,07,14,17,22,29,09
2019-10-12,19,23,25,27,30,40,37
2019-10-09,05,15,22,27,29,38,13
2019-10-05,08,09,16,20,33,36,17
2019-10-02,03,04,06,22,25,32,13
2019-09-28,05,13,15,36,37,39,14
2019-09-25,03,05,15,21,22,31,09
2019-09-21,07,14,19,23,32,34,02
2019-09-18,07,11,19,21,26,36,17
2019-09-14,06,13,15,22,26,34,12
2019-09-11,07,08,13,24,32,38,17
2019-09-07,01,07,20,29,31,38,32
2019-09-04,04,06,20,22,30,39,38
2019-08-31,02,04,05,24,30,37,33
2019-08-28,04,15,19,23,24,25,21
2019-08-24,02,04,06,17,22,35,21
2019-08-21,06,08,15,17,21,23,29
2019-08-17,01,06,10,12,29,32,19
2019-08-14,15,19,23,31,35,40,08
2019-08-10,08,12,17,23,31,34,40
2019-08-07,03,07,11,24,25,40,35
2019-08-03,07,17,30,31,34,39,25
2019-07-31,04,10,16,22,25,40,35
2019-07-27,01,04,06,17,19,21,30
2019-07-24,06,22,23,25,27,32,08
2019-07-20,04,05,13,22,24,28,06
2019-07-17,01,10,16,18,26,27,30
2019-07-13,07,10,16,28,33,36,34
2019-07-10,05,12,28,33,35,38,37
2019-07-06,02,05,17,31,33,37,40
2019-07-03,01,15,22,31,38,39,05
2019-06-29,07,10,18,19,20,37,29
2019-06-26,15,29,30,32,38,39,28
2019-06-22,07,10,12,14,26,37,40
2019-06-19,04,11,19,30,31,33,07
2019-06-15,06,15,25,27,28,35,04
2019-06-12,02,06,07,08,23,39,32
2019-06-08,06,10,22,25,27,36,17
2019-06-05,05,17,26,27,28,39,33
2019-06-01,01,19,22,30,33,37,11
2019-05-29,08,10,20,26,30,40,05
2019-05-25,02,10,23,30,35,37,21
2019-05-22,02,03,12,14,16,28,07
2019-05-18,09,10,12,20,24,25,07
2019-05-15,05,13,14,21,27,37,22
2019-05-11,02,03,16,19,20,39,32
2019-05-08,07,08,09,11,19,28,38
2019-05-04,04,27,29,34,36,37,10
2019-05-01,07,16,17,32,37,38,09
2019-04-27,04,08,22,24,29,37,35
2019-04-24,16,19,20,31,35,38,23
2019-04-20,01,10,21,32,37,39,19
2019-04-17,09,18,21,27,34,35,11
